ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,added_at,is_local,primary_color,added_by.id,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.href,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode
272,0.398,0.892,5,-5.16,1,0.108,0.00063,3.79E-05,0.591,0.461,124.344,3SYqRzGvFh0J3iKo2AwpGJ,4,2018-06-07T17:10:03Z,FALSE,NA,kesarleon,1,158731,FALSE,FALSE,https://api.spotify.com/v1/tracks/3SYqRzGvFh0J3iKo2AwpGJ,FALSE,Ya no sos igual,23,https://p.scdn.co/mp3-preview/7869d7549154c8ffa74e047ef84466126e3f4622?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,19,track,spotify:track:3SYqRzGvFh0J3iKo2AwpGJ,compilation,https://api.spotify.com/v1/albums/5bgNUJWukd5YRDMM3krWYJ,5bgNUJWukd5YRDMM3krWYJ,30 años de Punk,30/11/2010,day,30,album,spotify:album:5bgNUJWukd5YRDMM3krWYJ,https://open.spotify.com/album/5bgNUJWukd5YRDMM3krWYJ,ARF850900019,https://open.spotify.com/track/3SYqRzGvFh0J3iKo2AwpGJ,NA,F,major,F major
273,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,44AyOl4qVkzS48vBsbNXaC,3,2018-06-11T04:57:21Z,FALSE,NA,kesarleon,1,182360,FALSE,FALSE,https://api.spotify.com/v1/tracks/44AyOl4qVkzS48vBsbNXaC,FALSE,Can't Help Falling in Love,78,https://p.scdn.co/mp3-preview/994ebd7f49e4e935df56d450b0c12d8bad8bb9f4?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,5,track,spotify:track:44AyOl4qVkzS48vBsbNXaC,album,https://api.spotify.com/v1/albums/7xe8VI48TxUpU1IIo0RfGi,7xe8VI48TxUpU1IIo0RfGi,Blue Hawaii,20/10/1961,day,14,album,spotify:album:7xe8VI48TxUpU1IIo0RfGi,https://open.spotify.com/album/7xe8VI48TxUpU1IIo0RfGi,USRC16101350,https://open.spotify.com/track/44AyOl4qVkzS48vBsbNXaC,NA,D,major,D major
274,0.532,0.686,5,-9.041,1,0.0278,0.00142,0,0.144,0.743,132.031,68UGKNGREtwsO7fDRwftZ2,4,2018-06-12T03:00:08Z,FALSE,NA,kesarleon,1,222506,FALSE,FALSE,https://api.spotify.com/v1/tracks/68UGKNGREtwsO7fDRwftZ2,FALSE,Tonight the Streets Are Ours,53,https://p.scdn.co/mp3-preview/3cc074b3f63ce31dc18c693721fc3415b08647b5?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,4,track,spotify:track:68UGKNGREtwsO7fDRwftZ2,album,https://api.spotify.com/v1/albums/5hlcLAkhlCrV6j8NxEptXl,5hlcLAkhlCrV6j8NxEptXl,Lady's Bridge,20/08/2007,day,11,album,spotify:album:5hlcLAkhlCrV6j8NxEptXl,https://open.spotify.com/album/5hlcLAkhlCrV6j8NxEptXl,GBAJH0700455,https://open.spotify.com/track/68UGKNGREtwsO7fDRwftZ2,NA,F,major,F major
275,0.663,0.694,10,-8.627,0,0.172,0.0249,0,0.0698,0.524,167.964,1RKUoGiLEbcXN4GY4spQDx,4,2018-06-13T04:10:45Z,FALSE,NA,kesarleon,1,340920,FALSE,TRUE,https://api.spotify.com/v1/tracks/1RKUoGiLEbcXN4GY4spQDx,FALSE,Clint Eastwood,75,https://p.scdn.co/mp3-preview/20e27bbc6c7dd769fc5245d2ef6da78e2ad99549?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,5,track,spotify:track:1RKUoGiLEbcXN4GY4spQDx,album,https://api.spotify.com/v1/albums/4tUxQkrduOE8sfgwJ5BI2F,4tUxQkrduOE8sfgwJ5BI2F,Gorillaz,26/03/2001,day,17,album,spotify:album:4tUxQkrduOE8sfgwJ5BI2F,https://open.spotify.com/album/4tUxQkrduOE8sfgwJ5BI2F,GBAYE0001408,https://open.spotify.com/track/1RKUoGiLEbcXN4GY4spQDx,NA,A#,minor,A# minor
276,0.711,0.629,10,-6.289,0,0.209,0.522,0,0.138,0.696,89.989,0cAJMbqcT7PZZ2FtlRZD0D,4,2018-06-13T05:09:45Z,FALSE,NA,kesarleon,1,323440,FALSE,FALSE,https://api.spotify.com/v1/tracks/0cAJMbqcT7PZZ2FtlRZD0D,FALSE,Enero,51,https://p.scdn.co/mp3-preview/aec802fa6098a154172f4e41ee1dabbed77b6125?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,1,track,spotify:track:0cAJMbqcT7PZZ2FtlRZD0D,album,https://api.spotify.com/v1/albums/2iTYFejcetRy2wj4BA6ccp,2iTYFejcetRy2wj4BA6ccp,Curso Básico de Poesía,22/10/2014,day,10,album,spotify:album:2iTYFejcetRy2wj4BA6ccp,https://open.spotify.com/album/2iTYFejcetRy2wj4BA6ccp,ES71G1414315,https://open.spotify.com/track/0cAJMbqcT7PZZ2FtlRZD0D,NA,A#,minor,A# minor
277,0.647,0.805,4,-6.269,0,0.0279,0.00789,0.00211,0.168,0.707,114.638,1IRZwD3r9VOehOR8rGeV3Y,4,2018-06-13T14:56:08Z,FALSE,NA,LMM,1,200666,FALSE,FALSE,https://api.spotify.com/v1/tracks/1IRZwD3r9VOehOR8rGeV3Y,FALSE,Island In The Sun,0,NA,TRUE,3,track,spotify:track:1IRZwD3r9VOehOR8rGeV3Y,album,https://api.spotify.com/v1/albums/4ZS43VlYwOu0WUvFfQsleB,4ZS43VlYwOu0WUvFfQsleB,Smallville: The Talon Mix,25/02/2003,day,12,album,spotify:album:4ZS43VlYwOu0WUvFfQsleB,https://open.spotify.com/album/4ZS43VlYwOu0WUvFfQsleB,USIR10110358,https://open.spotify.com/track/1IRZwD3r9VOehOR8rGeV3Y,NA,E,minor,E minor
278,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09E-05,0.255,0.566,148.117,6txWz9UapYHVxEd7dDIHXT,4,2018-06-13T15:06:03Z,FALSE,NA,LMM,1,217106,FALSE,FALSE,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT,FALSE,No Rain,74,NA,TRUE,7,track,spotify:track:6txWz9UapYHVxEd7dDIHXT,album,https://api.spotify.com/v1/albums/55jET4vDioHHd7ztX7OX3h,55jET4vDioHHd7ztX7OX3h,Blind Melon,01/01/1992,day,13,album,spotify:album:55jET4vDioHHd7ztX7OX3h,https://open.spotify.com/album/55jET4vDioHHd7ztX7OX3h,USCA29200194,https://open.spotify.com/track/6txWz9UapYHVxEd7dDIHXT,NA,A,major,A major
279,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,61mWefnWQOLf90gepjOCb3,4,2018-06-13T15:00:19Z,FALSE,NA,kesarleon,1,252613,FALSE,FALSE,https://api.spotify.com/v1/tracks/61mWefnWQOLf90gepjOCb3,FALSE,Duality,76,https://p.scdn.co/mp3-preview/0d69e64bedfe9428d4cb07ee9b134b38e0230c6d?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,4,track,spotify:track:61mWefnWQOLf90gepjOCb3,album,https://api.spotify.com/v1/albums/4ZDBQSIDIZRUBOG2OHcN3T,4ZDBQSIDIZRUBOG2OHcN3T,Vol. 3: The Subliminal Verses,2004,year,22,album,spotify:album:4ZDBQSIDIZRUBOG2OHcN3T,https://open.spotify.com/album/4ZDBQSIDIZRUBOG2OHcN3T,NLA320420785,https://open.spotify.com/track/61mWefnWQOLf90gepjOCb3,NA,E,minor,E minor
280,0.752,0.535,11,-8.695,0,0.0342,0.714,2.56E-06,0.16,0.866,129.699,1U90pPNEWveMXo1iDZPLCV,4,2018-06-15T04:39:20Z,FALSE,NA,kesarleon,1,253426,FALSE,FALSE,https://api.spotify.com/v1/tracks/1U90pPNEWveMXo1iDZPLCV,FALSE,Romeo y Julieta,33,https://p.scdn.co/mp3-preview/33b81e2c134c170817c8bfbd00a142f3914a52e6?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,1,track,spotify:track:1U90pPNEWveMXo1iDZPLCV,album,https://api.spotify.com/v1/albums/2vy33g4ZSLDO0XvpkW9TZB,2vy33g4ZSLDO0XvpkW9TZB,12 Grandes exitos Vol. 1,04/03/2007,day,12,album,spotify:album:2vy33g4ZSLDO0XvpkW9TZB,https://open.spotify.com/album/2vy33g4ZSLDO0XvpkW9TZB,MXF160205322,https://open.spotify.com/track/1U90pPNEWveMXo1iDZPLCV,NA,B,minor,B minor
281,0.562,0.729,3,-4.774,1,0.0551,0.297,0,0.0868,0.652,151.97,70fVcEP5pRrxaIICY3DcPe,4,2018-06-15T17:36:32Z,FALSE,NA,kesarleon,1,190480,FALSE,FALSE,https://api.spotify.com/v1/tracks/70fVcEP5pRrxaIICY3DcPe,FALSE,Mi Persona Favorita,71,https://p.scdn.co/mp3-preview/160d58b47829f08054406f30491f59e40bd292b1?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,14,track,spotify:track:70fVcEP5pRrxaIICY3DcPe,album,https://api.spotify.com/v1/albums/3rpgokRsH2ZRK0yqrfOrSi,3rpgokRsH2ZRK0yqrfOrSi,Otra Vida,18/03/2014,day,19,album,spotify:album:3rpgokRsH2ZRK0yqrfOrSi,https://open.spotify.com/album/3rpgokRsH2ZRK0yqrfOrSi,MXF011300108,https://open.spotify.com/track/70fVcEP5pRrxaIICY3DcPe,NA,D#,major,D# major
