X,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Gustan
16,0.0399,https://api.spotify.com/v1/audio-analysis/4lfwM9i07jPYy2iHyBmHTP,0.91,205973,0.656,4lfwM9i07jPYy2iHyBmHTP,2.38E-05,2,0.293,-6.456,1,0.0376,122.954,4,https://api.spotify.com/v1/tracks/4lfwM9i07jPYy2iHyBmHTP,audio_features,spotify:track:4lfwM9i07jPYy2iHyBmHTP,0.906,0
17,0.174,https://api.spotify.com/v1/audio-analysis/466NZo2IMvcarEkOFICwYE,0.67,181872,0.575,466NZo2IMvcarEkOFICwYE,0.000438,0,0.198,-6.798,1,0.0268,112.052,4,https://api.spotify.com/v1/tracks/466NZo2IMvcarEkOFICwYE,audio_features,spotify:track:466NZo2IMvcarEkOFICwYE,0.828,0
18,0.0955,https://api.spotify.com/v1/audio-analysis/2OGQkPMMS8Cp56v22HGqKv,0.733,205880,0.864,2OGQkPMMS8Cp56v22HGqKv,0,10,0.146,-5.411,1,0.0324,91.989,4,https://api.spotify.com/v1/tracks/2OGQkPMMS8Cp56v22HGqKv,audio_features,spotify:track:2OGQkPMMS8Cp56v22HGqKv,0.763,0
19,0.545,https://api.spotify.com/v1/audio-analysis/2HtaztxlMW5bPI7ddDSXDd,0.558,295867,0.584,2HtaztxlMW5bPI7ddDSXDd,0,2,0.184,-8.408,1,0.0428,102.492,4,https://api.spotify.com/v1/tracks/2HtaztxlMW5bPI7ddDSXDd,audio_features,spotify:track:2HtaztxlMW5bPI7ddDSXDd,0.772,0
20,0.566,https://api.spotify.com/v1/audio-analysis/16VbmtEULPQ5eJpW2dIbxV,0.657,277733,0.554,16VbmtEULPQ5eJpW2dIbxV,8.86E-06,5,0.117,-9.807,1,0.0342,100.039,4,https://api.spotify.com/v1/tracks/16VbmtEULPQ5eJpW2dIbxV,audio_features,spotify:track:16VbmtEULPQ5eJpW2dIbxV,0.521,1
21,0.0161,https://api.spotify.com/v1/audio-analysis/2hConpLOB6gmyM8vDkVOof,0.602,232160,0.952,2hConpLOB6gmyM8vDkVOof,4.86E-05,9,0.112,-5.193,1,0.0629,146.287,4,https://api.spotify.com/v1/tracks/2hConpLOB6gmyM8vDkVOof,audio_features,spotify:track:2hConpLOB6gmyM8vDkVOof,0.743,0
22,0.918,https://api.spotify.com/v1/audio-analysis/7vw2L7CJS7uXSX5gOty4Nt,0.531,233907,0.29,7vw2L7CJS7uXSX5gOty4Nt,0,7,0.205,-8.65,1,0.0407,141.266,4,https://api.spotify.com/v1/tracks/7vw2L7CJS7uXSX5gOty4Nt,audio_features,spotify:track:7vw2L7CJS7uXSX5gOty4Nt,0.454,0
23,0.889,https://api.spotify.com/v1/audio-analysis/7q56pLRuTUbIU8ej5vVw3u,0.543,215187,0.246,7q56pLRuTUbIU8ej5vVw3u,2.94E-06,2,0.676,-10.513,1,0.0695,137.683,3,https://api.spotify.com/v1/tracks/7q56pLRuTUbIU8ej5vVw3u,audio_features,spotify:track:7q56pLRuTUbIU8ej5vVw3u,0.329,0
24,0.586,https://api.spotify.com/v1/audio-analysis/43ciCW4nNa2x17L8Ts3Csf,0.542,114800,0.34,43ciCW4nNa2x17L8Ts3Csf,0.176,2,0.178,-15.639,1,0.0625,97.912,4,https://api.spotify.com/v1/tracks/43ciCW4nNa2x17L8Ts3Csf,audio_features,spotify:track:43ciCW4nNa2x17L8Ts3Csf,0.747,1
25,0.0645,https://api.spotify.com/v1/audio-analysis/7mPGJJNWbXT2EparVOI2Tl,0.609,173293,0.719,7mPGJJNWbXT2EparVOI2Tl,1.54E-05,0,0.0608,-3.667,1,0.0271,115.065,4,https://api.spotify.com/v1/tracks/7mPGJJNWbXT2EparVOI2Tl,audio_features,spotify:track:7mPGJJNWbXT2EparVOI2Tl,0.616,0
